94|exchange_environment|Exchange Environment|Exchange Environment|\N|Y
95|turnaround_statistic_range|Turnaround Statistic Range|List of Turnaround Statistic ranges|\N|Y
96|turnaround_plot_interval|Turnaround Plot Interval|List of Turnaround Plot Intervals|\N|Y
97|wf_elan|Worksheet Format ELAN|Columns for Worksheet Format ELAN|\N|Y
98|wf_nitrate2|Worksheet Format Nitrate (ver. 2)|Columns for Worksheet Format Nitrate (ver. 2)|\N|Y
99|wf_cphylla2|Worksheet Format ChlorophyllA (ver. 2)|Columns for Worksheet Format ChlorophyllA (ver. 2)|\N|Y
100|laboratory_section|Laboratory Section|The list of the various sections of the laboratory|\N|N
101|bacterial_typing|Bacterial Typing|\N|\N|N
102|bacteriology_modifiers|Bacteriology Modifiers|\N|\N|N
103|atmospheric_requirement|Atmospheric Requirement|\N|\N|N
104|wf_lcmsms1|Worksheet Format LCMSMS1|Columns for Worksheet Format LCMSMS1 for interface|\N|Y
105|null_data_code|Null Data Code|List of all possible Null Data Codes (Air Quality)|\N|N
106|air_quality_action|Air Quality Action|The action of the air quality string|\N|N
107|air_quality_location|Air Quality Location|List of all possible air quality locations|\N|N
108|scriptlet_aux_field|Scriptlet Aux Field|List of the scriptlets for aux fields|\N|Y
109|scriptlet_domain|Scriptlet Domain|List of the scriptlets for domains|\N|Y
110|scriptlet_test|Scriptlet Test|List of the scriptlets for tests|\N|Y
111|scriptlet_test_analyte|Scriptlet Test Analyte|List of the scriptlets for test analytes|\N|Y
112|scriptlet_worksheet|Scriptlet Worksheet|List of the scriptlets for worksheets|\N|Y
113|analysis_type|Analysis Type|Analysis Type|\N|Y
114|patient_relation|Patient Relation|List of Patient Relations|\N|Y
115|wf_ll_lachat|Worksheet Format LimsLink Latchat (S/D)|Columns for Worksheet Format LimsLink Latchat (S/D)|\N|Y
116|wf_ll_carbonyl|Worksheet Format LimsLink Carbonyl|Columns for Worksheet Format LimsLink Latchat|\N|Y
117|wf_ll_chromeleon|Worksheet Format LimsLink Chromeleon|Columns for Worksheet Format LimsLink Chromeleon|\N|Y
118|wf_ll_icmps|Worksheet Format LimsLink ICPMS|Columns for Worksheet Format LimsLink ICPMS|\N|Y
119|wf_ll_mercury|Worksheet Format LimsLink Mercury|Columns for Worksheet Format LimsLink Mercury|\N|Y
120|wf_ll_pe600|Worksheet Format LimsLink PE600|Columns for Worksheet Format LimsLink PE600|\N|Y
121|wf_ll_elan|Worksheet Format LimsLink Elan|Columns for Worksheet Format LimsLink ICPMS|\N|Y
122|wf_ll_4100bl|Worksheet Format LimsLink 4100 Blood Lead|Columns for Worksheet Format LimsLink 4100 Blood Lead|\N|Y
123|wf_ll_analyst|Worksheet Format LimsLink Analyst|Columns for Worksheet Format LimsLink Analyst|\N|Y
124|wf_ll_csat|Worksheet Format LimsLink Chemstation Air Toxic|Columns for Worksheet Format LimsLink Chemstation Air Toxic|\N|Y
125|wf_ll_cs|Worksheet Format LimsLink Chemstation|Columns for Worksheet Format LimsLink Chemstation|\N|Y
126|wf_ll_form|Worksheet Format LimsLink Empower Formulation|Columns for Worksheet Format LimsLink Empower Formulation|\N|Y
127|wf_ll_em|Worksheet Format LimsLink Empower|Columns for Worksheet Format LimsLink Empower|\N|Y
128|wf_ll_em_ih|Worksheet Format LimsLink Empower IH|Columns for Worksheet Format LimsLink Empower IH|\N|Y
129|wf_ll_ls55|Worksheet Format LimsLink LS55|Columns for Worksheet Format LimsLink LS55|\N|Y
130|wf_ll_mm|Worksheet Format LimsLink MicroMass|Columns for Worksheet Format LimsLink MicroMass|\N|Y
131|insurance_company|Insurance Company|List of insurance companies/payers|\N|N
132|insurance_relation|Insurance  Relation|Insurance to Insured Relation|\N|N
133|hiv_results|HIV Results|HIV Results|\N|N
134|serology_results|Serology Results|\N|\N|N
135|iowa_counties|Iowa Counties|Iowa Counties|\N|N
136|arbo_temperature_codes|Arbo Temperature Codes|Arbo Temperature Codes|\N|N
137|means_of_death|Means of Death|Means of Death|\N|N
138|symptoms|Symptoms|Symptoms|\N|N
139|cf_enthnicities|Cystic Fibrosis Ethnicities|Cystic Fibrosis Ethnicities|\N|N
140|cf_family_history|Cystic Fibrosis Family History|Cystic Fibrosis Family History|\N|N
141|chl_gc_insurance_types|Chl-Gc Insurance Types|Chl-Gc Insurance Types|\N|N
142|chl_gc_visit_reasons|Chl-Gc Visit Reasons|Chl-Gc Visit Reasons|\N|N
143|chl_gc_risk_histories|Chl-Gc Risk Histories|Chl-Gc Risk Histories|\N|N
144|chl_gc_signs|Chl-Gc Signs|Chl-Gc Signs|\N|N
145|gc_request_types|GC Request Types|GC Request Types|\N|N
146|gc_antibiotic_therapies|GC Antibiotic Therapies|GC Antibiotic Therapies|\N|N
147|parasitology_results|Parasitology Results|Parasitology Results|\N|N
148|virus_results|Virus Results|Virus Results|\N|N
149|serogroups|Serogroups|Serogroups|\N|N
150|mycology_results|Mycology Results|Mycology Results|\N|N
