97|scriptlet_domain|Scriptlet Domain|List of the scriptlets for domains|\N|Y
98|scriptlet_test|Scriptlet Test|List of the scriptlets for tests|\N|Y
99|scriptlet_test_analyte|Scriptlet Test Analyte|List of the scriptlets for test analytes|\N|Y
100|scriptlet_worksheet|Scriptlet Worksheet|List of the scriptlets for worksheets|\N|Y
101|wf_ll_latchat|Worksheet Format LimsLink Latchat (S/D)|Columns for Worksheet Format LimsLink Latchat (S/D)|\N|Y
102|wf_ll_carbnyl|Worksheet Format LimsLink Carbonyl|Columns for Worksheet Format LimsLink Latchat|\N|Y
103|wf_ll_chromeleon|Worksheet Format LimsLink Chromeleon|Columns for Worksheet Format LimsLink Chromeleon|\N|Y
104|wf_ll_icmps|Worksheet Format LimsLink ICPMS|Columns for Worksheet Format LimsLink ICPMS|\N|Y
105|wf_ll_mercury|Worksheet Format LimsLink Mercury|Columns for Worksheet Format LimsLink Mercury|\N|Y
106|wf_ll_pe600|Worksheet Format LimsLink PE600|Columns for Worksheet Format LimsLink PE600|\N|Y
107|wf_ll_elan|Worksheet Format LimsLink Elan|Columns for Worksheet Format LimsLink ICPMS|\N|Y
108|wf_ll_4100bl|Worksheet Format LimsLink 4100 Blood Lead|Columns for Worksheet Format LimsLink 4100 Blood Lead|\N|Y
109|wf_ll_analyst|Worksheet Format LimsLink Analyst|Columns for Worksheet Format LimsLink Analyst|\N|Y
110|wf_ll_csat|Worksheet Format LimsLink Chemstation Air Toxic|Columns for Worksheet Format LimsLink Chemstation Air Toxic|\N|Y
111|wf_ll_cs|Worksheet Format LimsLink Chemstation|Columns for Worksheet Format LimsLink Chemstation|\N|Y
112|wf_ll_form|Worksheet Format LimsLink Empower Formulation|Columns for Worksheet Format LimsLink Empower Formulation|\N|Y
113|wf_ll_em|Worksheet Format LimsLink Empower|Columns for Worksheet Format LimsLink Empower|\N|Y
114|wf_ll_em_ih|Worksheet Format LimsLink Empower IH|Columns for Worksheet Format LimsLink Empower IH|\N|Y
115|wf_ll_ls55|Worksheet Format LimsLink LS55|Columns for Worksheet Format LimsLink LS55|\N|Y
116|wf_ll_mm|Worksheet Format LimsLink MicroMass|Columns for Worksheet Format LimsLink MicroMass|\N|Y
117|wf_ll_5300icp|Worksheet Format LimsLink 5300_ICP|Columns for Worksheet Format LimsLink 5300_ICP|\N|Y
118|insurance_company|Insurance Company|List of insurance companies/payers|\N|N
119|Insurance to Insured Relation|Insurance  Relation|Insurance to Insured Relation|\N|N
120|bacterial_results|Bacterial Results|Baterial Results|\N|N
121|serogroups|Serogroups|Serogroups|\N|N
122|iowa_counties|Iowa Counties|Iowa Counties|\N|N
123|bacteriology_modifiers|Bacteriology Modifiers|Bacteriology Modifiers|\N|N
124|atmospheric_requirement|Atmospheric Requirement|Atmospheric Requirement|\N|N
125|parasitology_results|Parasitology Results|Parasitology Results|\N|N
126|serology_results|Serology Results|Serology Results|\N|N
127|cf_results|Cystic Fibrosis Results|Cystic Fibrosis Results|\N|N
128|cf_enthnicity|Cystic Fibrosis Ethnicity|Cystic Fibrosis Ethnicity|\N|N
129|cf_relation|Cystic Fibrosis Relation|Cystic Fibrosis Relation|\N|N
130|cf_family_history|Cystic Fibrosis Family History|Cystic Fibrosis Family History|\N|N
131|sign_symptom|Sign and Symptom|Sign and Symptom|\N|N
132|risk_history|Risk History|Risk History|\N|N
133|visit_reasons|Visit Reason|Visit Reason|\N|N
134|insurance_condition|Insurance Condition|Insurance Condition|\N|N
135|mycology_results|Mycology Results|Mycology Results|\N|N
136|request_type|Request Type|Request Type|\N|N
137|antibiotic_therapy|Antibiotic Therapy|Antibiotic Therapy|\N|N
138|hiv_results|HIV Results|HIV Results|\N|N
139|virus_results|Virus Results|Virus Results|\N|N
140|wf_elfa|Worksheet Format ELFA|Columns for Worksheet Format ELFA|\N|Y
141|wf_hiv_multispot|Worksheet Format HIV Multispot|Columns for Worksheet Format HIV Multispot|\N|Y
142|wf_latex_agglut|Worksheet Format Latex Agglutination|Columns for Worksheet Format Latex Agglutnation|\N|Y
143|wf_tppa|Worksheet Format Syphilis TPPA|Columns for Worksheet Format Syphilis TPPA|\N|Y
144|wf_test_strip|Worksheet Format Test Strip|Columns for Worksheet Format Test Strip|\N|Y
145|wf_afb_biochem|Worksheet Format AFP Biochemical|Columns for Worksheet Format AFP Biochemical|\N|Y
146|wf_afb_culture|Worksheet Format AFB Culture|Columns for Worksheet Format AFB Culture|\N|Y
147|wf_bacti_mod|Worksheet Format Bacti Modifier|Columns for Worksheet Format Bacti Modifier|\N|Y
148|wf_bacti_sero|Worksheet Format Bacti Serogroup|Columns for Worksheet Format Bacti Serogroup|\N|Y
149|wf_clinical|Worksheet Format Default Clinical|Columns for Worksheet Format Default Clinical|\N|Y
150|wf_enteric|Worksheet Format Enteric Culture|Columns for Worksheet Format Enteric Culture|\N|Y
151|wf_gram_stain|Worksheet Format Gram Stain|Columns for Worksheet Format Gram Stain|\N|Y
152|wf_hsv_culture|Worksheet Format HSV Culture|Columns for Worksheet Format HSV Culture|\N|Y
153|wf_refbacti|Worksheet Format Refbacti|Columns for Worksheet Format Refbacti|\N|Y
154|processing_location|Processing Location|List of Processing Locations|\N|N
155|wf_norovirus|Worksheet Format Norovirus|Columns for Worksheet Format Norovirus|\N|Y
156|pt_provider|PT Provider|List of PT Sample Provider names|\N|Y
157|wf_ll_aptima|Worksheet Format LimsLink Aptima CT-GC|Columns for Worksheet Format LimsLink Aptima CT-GC|\N|Y
